maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long,had_wildfire
86.33333333,64.2,78.56666667,0,25.6,5.733333333,0,11.6,36.23,-118.78,1
95.96666667,58.43333333,83.13333333,0,34.1,5.1,0,11.6,37.56,-121,0
84.96666667,66.43333333,78.76666667,0,59.36666667,4.8,0,11.55666667,33.68,-117.78,0
102.8,78.53333333,95,0,21.76666667,5.366666667,0,11.6,33.04,-115.36,0
93.26666667,61,81.76666667,0,32.06666667,4.333333333,0,11.59,39.04,-121.7,0
87.6,58.16666667,77.56666667,0,33.33333333,4.666666667,0,11.6,38.44,-120.65,0
86.93333333,55.36666667,75.46666667,0,41.3,4.7,0,11.59,39.09,-122.75,0
74.96666667,46.6,63.56666667,0,36.86666667,5.566666667,0.003333333,11.6,39.99,-120.82,0
75.1,56.46666667,68.63333333,0,65.83333333,4.766666667,0,11.59,37.41,-122.37,0
77.6,42.13333333,65.8,0,41.03333333,5.4,0,11.54666667,41.59,-122.53,1
77.53333333,54.63333333,70.53333333,0,64.26666667,4.533333333,0,11.59,37.01,-122.01,0
93.5,57.56666667,80.93333333,0,31.96666667,5.2,0,11.59,39.6,-122.4,0
89.96666667,59,79.63333333,0,39.1,3.933333333,0,11.6,35.39,-120.45,0
64.16129032,36.58064516,53.5483871,0,45.77419355,6.35483871,0.058064516,10.98709677,39.58,-120.52,0
80.16129032,57.70967742,71,0,38.22580645,5.096774194,0.035483871,10.93870968,38.45,-121.34,0
82.48387097,56.74193548,72.09677419,0,32.5483871,7.548387097,0,11.10322581,34.54,-120.04,0
79.29032258,45.70967742,67.29032258,0,34.32258065,6.129032258,0.019354839,10.97419355,38.18,-120.56,0
72.80645161,54.80645161,65.38709677,0,32.16129032,6.903225806,0.009677419,10.89677419,34.36,-119.13,1
84,56.38709677,72.4516129,0,36.25806452,5.709677419,0,11.16774194,34.2,-118.26,1
71.93548387,54,65.19354839,0,51.93548387,7.225806452,0.025806452,10.62580645,38.53,-122.93,0
83.90322581,55.06451613,73.25806452,0,30.25806452,4.35483871,0.009677419,10.8483871,36.07,-119.82,0
83.03225806,53.58064516,72.74193548,0,41,5.225806452,0,11.1,33.02,-116.78,1
70.58064516,48.64516129,62.32258065,0,38.70967742,6.967741935,0.067741935,10.77419355,39.06,-120.72,0
67.51612903,58.06451613,63.22580645,0,61.12903226,7.677419355,0.009677419,10.68064516,37.73,-123.03,0
67.51612903,58.06451613,63.22580645,0,61.12903226,7.677419355,0.009677419,10.68064516,38.05,-122.75,1
60.83870968,43.32258065,54.90322581,0.516129032,36.83870968,6.35483871,0.032258065,10.84193548,37.57,-119.91,1
61.83870968,38.25806452,53.5483871,0.006451613,45.06451613,6.580645161,0.029032258,10.70322581,40.72,-120.63,0
78.25806452,51.09677419,67.5483871,0,42.70967742,5.580645161,0.038709677,10.65483871,38.51,-122.33,1
71.64516129,43.93548387,61.12903226,0,44.41935484,7.35483871,0.077419355,10.68709677,40.76,-122.04,0
81.41935484,49.19354839,68.58064516,0,37.61290323,4.935483871,0.012903226,10.9516129,36.24,-121.32,0
